,train_loss,val_loss
0,0.31982133,tensor(0.2843)
1,0.25109828,tensor(0.2146)
2,0.18442379,tensor(0.1531)
3,0.1300897,tensor(0.1069)
4,0.09077861,tensor(0.0745)
5,0.063444965,tensor(0.0521)
6,0.044405464,tensor(0.0363)
7,0.030845208,tensor(0.0250)
8,0.02105299,tensor(0.0168)
9,0.014046687,tensor(0.0110)
10,0.0091498755,tensor(0.0071)
11,0.0058219456,tensor(0.0044)
12,0.0036242509,tensor(0.0027)
13,0.0022137773,tensor(0.0016)
14,0.0013336325,tensor(0.0010)
15,0.0007994473,tensor(0.0006)
16,0.00048404574,tensor(0.0003)
17,0.00030280947,tensor(0.0002)
18,0.00020145654,tensor(0.0001)
19,0.00014624596,tensor(0.0001)
