,train_loss,val_loss
0,0.31597686,tensor(0.2217)
1,0.20184906,tensor(0.1734)
2,0.17100121,tensor(0.1580)
3,0.16138119,tensor(0.1557)
4,0.15750407,tensor(0.1508)
5,0.14982958,tensor(0.1321)
6,0.12731092,tensor(0.1202)
7,0.118745536,tensor(0.1057)
8,0.10719401,tensor(0.0944)
9,0.097067624,tensor(0.0921)
10,0.090411946,tensor(0.0844)
11,0.08620581,tensor(0.0777)
12,0.08083708,tensor(0.0762)
13,0.07909835,tensor(0.0749)
14,0.0779432,tensor(0.0740)
15,0.072512776,tensor(0.0671)
16,0.070011266,tensor(0.0662)
17,0.06900214,tensor(0.0655)
18,0.068251334,tensor(0.0650)
19,0.06761841,tensor(0.0645)
