,train_loss,val_loss
0,0.4420511,tensor(0.4211)
1,0.39746988,tensor(0.3685)
2,0.3382596,tensor(0.3033)
3,0.2718256,tensor(0.2377)
4,0.21043961,tensor(0.1818)
5,0.16022848,tensor(0.1378)
6,0.12148367,tensor(0.1044)
7,0.091860056,tensor(0.0785)
8,0.068735406,tensor(0.0582)
9,0.050567217,tensor(0.0423)
10,0.036493093,tensor(0.0302)
11,0.025828542,tensor(0.0211)
12,0.017933115,tensor(0.0145)
13,0.012220418,tensor(0.0097)
14,0.008178914,tensor(0.0064)
15,0.005381906,tensor(0.0042)
16,0.0034872747,tensor(0.0027)
17,0.002230575,tensor(0.0017)
18,0.0014140415,tensor(0.0010)
19,0.00089413644,tensor(0.0007)
