,train_loss,val_loss
0,0.49392167,tensor(0.4881)
1,0.4759272,tensor(0.4576)
2,0.42608345,tensor(0.3839)
3,0.3286817,tensor(0.2647)
4,0.20274597,tensor(0.1413)
5,0.09691966,tensor(0.0588)
6,0.037049502,tensor(0.0206)
7,0.01250115,tensor(0.0070)
8,0.00429456,tensor(0.0027)
9,0.0018392169,tensor(0.0015)
10,0.0011771226,tensor(0.0012)
11,0.001019926,tensor(0.0011)
12,0.0009873987,tensor(0.0011)
13,0.0009814835,tensor(0.0011)
14,0.0009805465,tensor(0.0011)
15,0.0009803879,tensor(0.0011)
16,0.0009803963,tensor(0.0011)
17,0.0009803975,tensor(0.0011)
18,0.0009804034,tensor(0.0011)
19,0.0009804093,tensor(0.0011)
