,train_loss,val_loss
0,0.49718064,tensor(0.4937)
1,0.4848696,tensor(0.4695)
2,0.43835473,tensor(0.3921)
3,0.32676986,tensor(0.2482)
4,0.17712952,tensor(0.1095)
5,0.06921668,tensor(0.0363)
6,0.02105649,tensor(0.0097)
7,0.0054044495,tensor(0.0023)
8,0.0012752532,tensor(0.0005)
9,0.00031657575,tensor(0.0002)
10,0.00012661218,tensor(8.9079e-05)
11,9.58848e-05,tensor(8.1182e-05)
12,9.19807e-05,tensor(8.0615e-05)
13,9.159327e-05,tensor(8.0615e-05)
14,9.157419e-05,tensor(8.0705e-05)
15,9.1569425e-05,tensor(8.0645e-05)
16,9.1573e-05,tensor(8.0705e-05)
17,9.1546775e-05,tensor(8.0645e-05)
18,9.1571805e-05,tensor(8.0556e-05)
19,9.156823e-05,tensor(8.0645e-05)
