,train_loss,val_loss
0,0.31603307,tensor(0.2224)
1,0.20184885,tensor(0.1739)
2,0.16805878,tensor(0.1510)
3,0.15101148,tensor(0.1445)
4,0.1442367,tensor(0.1300)
5,0.13012925,tensor(0.1159)
6,0.114339724,tensor(0.1060)
7,0.107802995,tensor(0.0966)
8,0.098552234,tensor(0.0932)
9,0.09617788,tensor(0.0916)
10,0.094756305,tensor(0.0906)
11,0.08917686,tensor(0.0835)
12,0.086710185,tensor(0.0827)
13,0.08575493,tensor(0.0820)
14,0.0850064,tensor(0.0815)
15,0.084363356,tensor(0.0811)
16,0.083827704,tensor(0.0807)
17,0.08339028,tensor(0.0805)
18,0.083047524,tensor(0.0803)
19,0.082787365,tensor(0.0802)
