,train_loss,val_loss
0,0.41441917,tensor(0.3919)
1,0.3642897,tensor(0.3360)
2,0.30530295,tensor(0.2750)
3,0.24620269,tensor(0.2189)
4,0.19593166,tensor(0.1740)
5,0.15721011,tensor(0.1401)
6,0.12827376,tensor(0.1146)
7,0.10652769,tensor(0.0953)
8,0.0898978,tensor(0.0804)
9,0.07716835,tensor(0.0690)
10,0.06758162,tensor(0.0606)
11,0.060524732,tensor(0.0544)
12,0.055453148,tensor(0.0500)
13,0.051894106,tensor(0.0469)
14,0.049454287,tensor(0.0448)
15,0.047819596,tensor(0.0434)
16,0.046748668,tensor(0.0424)
17,0.046062417,tensor(0.0418)
18,0.045631953,tensor(0.0414)
19,0.045367736,tensor(0.0412)
