,train_loss,val_loss
0,0.49361923,tensor(0.4873)
1,0.4752888,tensor(0.4558)
2,0.42500865,tensor(0.3811)
3,0.32744887,tensor(0.2616)
4,0.20197955,tensor(0.1391)
5,0.096882,tensor(0.0577)
6,0.037491642,tensor(0.0204)
7,0.013160936,tensor(0.0072)
8,0.005044898,tensor(0.0032)
9,0.002626884,tensor(0.0021)
10,0.0019788898,tensor(0.0019)
11,0.0018268418,tensor(0.0018)
12,0.001796254,tensor(0.0018)
13,0.0017911362,tensor(0.0018)
14,0.0017904914,tensor(0.0018)
15,0.0017904675,tensor(0.0018)
16,0.0017904794,tensor(0.0018)
17,0.0017905306,tensor(0.0018)
18,0.0017905557,tensor(0.0018)
19,0.0017905557,tensor(0.0018)
