,train_loss,val_loss
0,0.3628031,tensor(0.3251)
1,0.28506923,tensor(0.2412)
2,0.20170711,tensor(0.1627)
3,0.13332196,tensor(0.1066)
4,0.08791514,tensor(0.0715)
5,0.059760857,tensor(0.0494)
6,0.041367754,tensor(0.0342)
7,0.028490117,tensor(0.0234)
8,0.019332903,tensor(0.0158)
9,0.012941328,tensor(0.0106)
10,0.008606442,tensor(0.0071)
11,0.0057548606,tensor(0.0048)
12,0.0039356826,tensor(0.0034)
13,0.0028099811,tensor(0.0025)
14,0.0021341848,tensor(0.0020)
15,0.0017404413,tensor(0.0017)
16,0.0015177858,tensor(0.0016)
17,0.0013955188,tensor(0.0015)
18,0.0013303506,tensor(0.0014)
19,0.0012966621,tensor(0.0014)
