,train_loss,val_loss
0,0.49717796,tensor(0.4937)
1,0.4849674,tensor(0.4697)
2,0.43878374,tensor(0.3927)
3,0.32818657,tensor(0.2502)
4,0.18024641,tensor(0.1132)
5,0.073024616,tensor(0.0399)
6,0.024209693,tensor(0.0125)
7,0.007804444,tensor(0.0045)
8,0.0032337701,tensor(0.0024)
9,0.0021038996,tensor(0.0020)
10,0.0018647229,tensor(0.0019)
11,0.0018227696,tensor(0.0019)
12,0.0018167758,tensor(0.0019)
13,0.0018160737,tensor(0.0019)
14,0.0018160427,tensor(0.0019)
15,0.0018160427,tensor(0.0019)
16,0.0018160605,tensor(0.0019)
17,0.001816076,tensor(0.0019)
18,0.0018160689,tensor(0.0019)
19,0.0018160712,tensor(0.0019)
