,train_loss,val_loss
0,0.49733084,tensor(0.4944)
1,0.48802552,tensor(0.4751)
2,0.45119268,tensor(0.4103)
3,0.35666552,tensor(0.2818)
4,0.21989024,tensor(0.1492)
5,0.11449957,tensor(0.0764)
6,0.06629971,tensor(0.0504)
7,0.051215257,tensor(0.0439)
8,0.047698922,tensor(0.0426)
9,0.04702018,tensor(0.0424)
10,0.04691127,tensor(0.0424)
11,0.046898276,tensor(0.0424)
12,0.04689782,tensor(0.0424)
13,0.046898264,tensor(0.0424)
14,0.04689866,tensor(0.0424)
15,0.046898957,tensor(0.0424)
16,0.04689922,tensor(0.0424)
17,0.046899468,tensor(0.0424)
18,0.04689972,tensor(0.0424)
19,0.046899978,tensor(0.0424)
