,train_loss,val_loss
0,0.4430358,tensor(0.4228)
1,0.3991495,tensor(0.3713)
2,0.34100437,tensor(0.3075)
3,0.27572075,tensor(0.2430)
4,0.21493274,tensor(0.1872)
5,0.16459776,tensor(0.1429)
6,0.12547097,tensor(0.1089)
7,0.095437706,tensor(0.0826)
8,0.07192266,tensor(0.0618)
9,0.053388454,tensor(0.0455)
10,0.038980786,tensor(0.0330)
11,0.028024016,tensor(0.0236)
12,0.01988233,tensor(0.0167)
13,0.013969088,tensor(0.0117)
14,0.009769427,tensor(0.0083)
15,0.0068512238,tensor(0.0059)
16,0.0048663355,tensor(0.0043)
17,0.0035441231,tensor(0.0032)
18,0.0026811897,tensor(0.0025)
19,0.0021292781,tensor(0.0021)
