,train_loss,val_loss
0,0.2473018,tensor(0.2152)
1,0.21306053,tensor(0.2073)
2,0.21004586,tensor(0.2059)
3,0.20841953,tensor(0.2038)
4,0.20547634,tensor(0.1965)
5,0.19580628,tensor(0.1899)
6,0.19186294,tensor(0.1839)
7,0.18081526,tensor(0.1754)
8,0.1779249,tensor(0.1743)
9,0.17626968,tensor(0.1676)
10,0.16865592,tensor(0.1652)
11,0.1675964,tensor(0.1647)
12,0.16707814,tensor(0.1645)
13,0.16671596,tensor(0.1642)
14,0.166376,tensor(0.1640)
15,0.1660345,tensor(0.1636)
16,0.16566482,tensor(0.1632)
17,0.16532932,tensor(0.1629)
18,0.16505359,tensor(0.1627)
19,0.16481057,tensor(0.1625)
