,train_loss,val_loss
0,0.36513624,tensor(0.3276)
1,0.2878203,tensor(0.2437)
2,0.20432587,tensor(0.1648)
3,0.13545565,tensor(0.1082)
4,0.089639276,tensor(0.0728)
5,0.06120722,tensor(0.0505)
6,0.042608093,tensor(0.0352)
7,0.029562712,tensor(0.0243)
8,0.020268107,tensor(0.0166)
9,0.013767306,tensor(0.0112)
10,0.009348504,tensor(0.0077)
11,0.0064347554,tensor(0.0054)
12,0.0045711696,tensor(0.0039)
13,0.0034148716,tensor(0.0030)
14,0.0027186729,tensor(0.0025)
15,0.0023118197,tensor(0.0022)
16,0.002080915,tensor(0.0020)
17,0.001953677,tensor(0.0020)
18,0.0018855893,tensor(0.0019)
19,0.0018501651,tensor(0.0019)
