,train_loss,val_loss
0,0.26974532,tensor(0.2190)
1,0.21459687,tensor(0.2072)
2,0.2099836,tensor(0.2055)
3,0.20324959,tensor(0.1939)
4,0.19018902,tensor(0.1837)
5,0.1851244,tensor(0.1757)
6,0.17270082,tensor(0.1679)
7,0.16928369,tensor(0.1660)
8,0.16741778,tensor(0.1645)
9,0.16214357,tensor(0.1537)
10,0.15422207,tensor(0.1517)
11,0.15264122,tensor(0.1502)
12,0.15101635,tensor(0.1439)
13,0.14488216,tensor(0.1423)
14,0.14334267,tensor(0.1414)
15,0.142664,tensor(0.1408)
16,0.14204983,tensor(0.1402)
17,0.1414498,tensor(0.1396)
18,0.13553642,tensor(0.1259)
19,0.12685703,tensor(0.1235)
