,train_loss,val_loss
0,0.44449002,tensor(0.4250)
1,0.40129563,tensor(0.3741)
2,0.3435809,tensor(0.3104)
3,0.27834263,tensor(0.2456)
4,0.2173425,tensor(0.1894)
5,0.16673763,tensor(0.1447)
6,0.12737542,tensor(0.1105)
7,0.09714856,tensor(0.0840)
8,0.073461644,tensor(0.0631)
9,0.05477049,tensor(0.0467)
10,0.040222947,tensor(0.0340)
11,0.02914599,tensor(0.0245)
12,0.020904364,tensor(0.0175)
13,0.014910668,tensor(0.0125)
14,0.010647985,tensor(0.0090)
15,0.007681818,tensor(0.0066)
16,0.005661343,tensor(0.0049)
17,0.0043132864,tensor(0.0039)
18,0.00343207,tensor(0.0032)
19,0.0028674984,tensor(0.0027)
