,train_loss,val_loss
0,0.41633928,tensor(0.3931)
1,0.36537752,tensor(0.3369)
2,0.30632105,tensor(0.2758)
3,0.2472626,tensor(0.2198)
4,0.19715317,tensor(0.1750)
5,0.15861243,tensor(0.1412)
6,0.1298253,tensor(0.1159)
7,0.10818573,tensor(0.0967)
8,0.09162919,tensor(0.0818)
9,0.078952625,tensor(0.0705)
10,0.06940518,tensor(0.0621)
11,0.06237713,tensor(0.0560)
12,0.057326373,tensor(0.0516)
13,0.05378197,tensor(0.0485)
14,0.051352154,tensor(0.0464)
15,0.04972417,tensor(0.0450)
16,0.048657622,tensor(0.0441)
17,0.047974158,tensor(0.0435)
18,0.04754548,tensor(0.0431)
19,0.04728229,tensor(0.0428)
