,train_loss,val_loss
0,0.3238284,tensor(0.2895)
1,0.2562584,tensor(0.2209)
2,0.19045253,tensor(0.1600)
3,0.13631554,tensor(0.1135)
4,0.09649774,tensor(0.0803)
5,0.06840575,tensor(0.0571)
6,0.048672713,tensor(0.0406)
7,0.03452602,tensor(0.0287)
8,0.024237683,tensor(0.0200)
9,0.016816331,tensor(0.0138)
10,0.011582637,tensor(0.0095)
11,0.007991336,tensor(0.0066)
12,0.0055953586,tensor(0.0047)
13,0.004040811,tensor(0.0035)
14,0.0030596638,tensor(0.0027)
15,0.0024569856,tensor(0.0023)
16,0.00209659,tensor(0.0020)
17,0.0018867612,tensor(0.0018)
18,0.0017677462,tensor(0.0017)
19,0.0017019749,tensor(0.0017)
