,train_loss,val_loss
0,0.49714637,tensor(0.4936)
1,0.48493862,tensor(0.4693)
2,0.43886277,tensor(0.3922)
3,0.32851574,tensor(0.2497)
4,0.18075119,tensor(0.1129)
5,0.07345696,tensor(0.0397)
6,0.024484228,tensor(0.0125)
7,0.00799831,tensor(0.0046)
8,0.0034031523,tensor(0.0025)
9,0.0022676243,tensor(0.0021)
10,0.0020279086,tensor(0.0020)
11,0.0019863092,tensor(0.0020)
12,0.0019806302,tensor(0.0020)
13,0.0019801187,tensor(0.0020)
14,0.001980195,tensor(0.0020)
15,0.0019802058,tensor(0.0020)
16,0.001980244,tensor(0.0020)
17,0.0019802474,tensor(0.0020)
18,0.001980294,tensor(0.0020)
19,0.0019803036,tensor(0.0020)
