,train_loss,val_loss
0,0.44157937,tensor(0.4212)
1,0.3975548,tensor(0.3687)
2,0.33850968,tensor(0.3037)
3,0.27212778,tensor(0.2381)
4,0.21069977,tensor(0.1821)
5,0.16042796,tensor(0.1381)
6,0.12162499,tensor(0.1046)
7,0.09195874,tensor(0.0787)
8,0.06880592,tensor(0.0583)
9,0.050617266,tensor(0.0424)
10,0.03652723,tensor(0.0303)
11,0.025850259,tensor(0.0212)
12,0.017945338,tensor(0.0145)
13,0.012225557,tensor(0.0098)
14,0.008178929,tensor(0.0064)
15,0.0053782845,tensor(0.0042)
16,0.0034810973,tensor(0.0027)
17,0.0022226607,tensor(0.0017)
18,0.0014050078,tensor(0.0010)
19,0.00088435767,tensor(0.0006)
