,train_loss,val_loss
0,0.29078484,tensor(0.2577)
1,0.22684976,tensor(0.1953)
2,0.17023033,tensor(0.1451)
3,0.12826213,tensor(0.1104)
4,0.10033394,tensor(0.0877)
5,0.0820802,tensor(0.0726)
6,0.06989257,tensor(0.0623)
7,0.061557956,tensor(0.0551)
8,0.055837084,tensor(0.0502)
9,0.05198448,tensor(0.0469)
10,0.049466826,tensor(0.0448)
11,0.04787487,tensor(0.0435)
12,0.046901017,tensor(0.0426)
13,0.046324443,tensor(0.0421)
14,0.045993943,tensor(0.0418)
15,0.045810338,tensor(0.0417)
16,0.045711465,tensor(0.0416)
17,0.04565983,tensor(0.0415)
18,0.045633636,tensor(0.0415)
19,0.045620766,tensor(0.0415)
