,train_loss,val_loss
0,0.49374825,tensor(0.4885)
1,0.47948417,tensor(0.4632)
2,0.43886387,tensor(0.4001)
3,0.35493755,tensor(0.2924)
4,0.23879156,tensor(0.1738)
5,0.13549909,tensor(0.0922)
6,0.07654144,tensor(0.0558)
7,0.05364503,tensor(0.0443)
8,0.04699027,tensor(0.0415)
9,0.045394883,tensor(0.0409)
10,0.04506208,tensor(0.0408)
11,0.045002908,tensor(0.0408)
12,0.04499483,tensor(0.0408)
13,0.044994384,tensor(0.0408)
14,0.044994667,tensor(0.0408)
15,0.044994935,tensor(0.0408)
16,0.04499517,tensor(0.0408)
17,0.044995338,tensor(0.0408)
18,0.044995483,tensor(0.0408)
19,0.044995666,tensor(0.0408)
