,train_loss,val_loss
0,0.3212314,tensor(0.2868)
1,0.25346386,tensor(0.2183)
2,0.18785362,tensor(0.1578)
3,0.13410883,tensor(0.1117)
4,0.094623506,tensor(0.0789)
5,0.0667826,tensor(0.0558)
6,0.04725436,tensor(0.0395)
7,0.033278853,tensor(0.0277)
8,0.023134617,tensor(0.0192)
9,0.015831962,tensor(0.0131)
10,0.010692809,tensor(0.0088)
11,0.0071743284,tensor(0.0060)
12,0.0048325215,tensor(0.0041)
13,0.0033169913,tensor(0.0029)
14,0.0023629952,tensor(0.0021)
15,0.0017786884,tensor(0.0017)
16,0.0014303208,tensor(0.0014)
17,0.0012281262,tensor(0.0013)
18,0.001113857,tensor(0.0012)
19,0.0010509718,tensor(0.0011)
