,train_loss,val_loss
0,0.41787615,tensor(0.3945)
1,0.36747536,tensor(0.3387)
2,0.30867553,tensor(0.2778)
3,0.24949114,tensor(0.2216)
4,0.19899507,tensor(0.1765)
5,0.16002342,tensor(0.1425)
6,0.13091809,tensor(0.1171)
7,0.10908882,tensor(0.0977)
8,0.09241996,tensor(0.0828)
9,0.07966845,tensor(0.0714)
10,0.07006691,tensor(0.0629)
11,0.06299968,tensor(0.0567)
12,0.05792108,tensor(0.0523)
13,0.054357346,tensor(0.0492)
14,0.051914398,tensor(0.0471)
15,0.050277747,tensor(0.0457)
16,0.049205575,tensor(0.0447)
17,0.04851847,tensor(0.0441)
18,0.04808758,tensor(0.0437)
19,0.047823016,tensor(0.0435)
