,train_loss,val_loss
0,0.49361157,tensor(0.4883)
1,0.4791094,tensor(0.4628)
2,0.4381015,tensor(0.3997)
3,0.35391176,tensor(0.2922)
4,0.23805086,tensor(0.1742)
5,0.1354907,tensor(0.0931)
6,0.07708894,tensor(0.0568)
7,0.054349557,tensor(0.0452)
8,0.04766909,tensor(0.0422)
9,0.046034977,tensor(0.0416)
10,0.0456847,tensor(0.0414)
11,0.045620155,tensor(0.0414)
12,0.045610715,tensor(0.0414)
13,0.045609962,tensor(0.0414)
14,0.04561018,tensor(0.0414)
15,0.045610398,tensor(0.0414)
16,0.04561061,tensor(0.0414)
17,0.04561083,tensor(0.0414)
18,0.045610994,tensor(0.0414)
19,0.045611154,tensor(0.0414)
