,train_loss,val_loss
0,0.44246492,tensor(0.4227)
1,0.39920995,tensor(0.3714)
2,0.34125653,tensor(0.3078)
3,0.2760357,tensor(0.2433)
4,0.21518679,tensor(0.1874)
5,0.16474567,tensor(0.1429)
6,0.12551346,tensor(0.1089)
7,0.09540189,tensor(0.0825)
8,0.071832255,tensor(0.0617)
9,0.053256087,tensor(0.0454)
10,0.038814183,tensor(0.0328)
11,0.027829751,tensor(0.0234)
12,0.019666113,tensor(0.0165)
13,0.013735959,tensor(0.0115)
14,0.009523552,tensor(0.0080)
15,0.006596025,tensor(0.0056)
16,0.004604349,tensor(0.0040)
17,0.0032774187,tensor(0.0029)
18,0.0024112368,tensor(0.0022)
19,0.001857084,tensor(0.0018)
