,train_loss,val_loss
0,0.44375363,tensor(0.4242)
1,0.4010686,tensor(0.3734)
2,0.34347656,tensor(0.3099)
3,0.27828348,tensor(0.2452)
4,0.21726578,tensor(0.1891)
5,0.16663185,tensor(0.1445)
6,0.12721966,tensor(0.1103)
7,0.09694305,tensor(0.0838)
8,0.07321708,tensor(0.0628)
9,0.054495756,tensor(0.0464)
10,0.039925084,tensor(0.0337)
11,0.028830886,tensor(0.0242)
12,0.020576809,tensor(0.0172)
13,0.014574341,tensor(0.0121)
14,0.010305783,tensor(0.0086)
15,0.007335701,tensor(0.0062)
16,0.0053127133,tensor(0.0045)
17,0.0039631594,tensor(0.0035)
18,0.0030810582,tensor(0.0028)
19,0.0025159465,tensor(0.0023)
